"age","one_dose","two_dose","booster","date"
"18-24","3451830","2847279","9460",2021-10-01
"18-24","3454313","2855978","11182",2021-10-02
"18-24","3456464","2865424","13021",2021-10-03
"18-24","3457843","2870828","14153",2021-10-04
"18-24","3459804","2878132","15892",2021-10-05
"18-24","3461858","2884934","17879",2021-10-06
"18-24","3463928","2891768","19370",2021-10-07
"18-24","3466042","2898405","20880",2021-10-08
"18-24","3468024","2904764","22455",2021-10-09
"18-24","3470295","2912497","24428",2021-10-10
"18-24","3471459","2916511","25362",2021-10-11
"18-24","3473256","2921951","26620",2021-10-12
"18-24","3475385","2927563","28266",2021-10-13
"18-24","3478206","2934398","30934",2021-10-14
"18-24","3480197","2939949","33753",2021-10-15
"18-24","3482388","2945960","36432",2021-10-16
"18-24","3484581","2953089","39232",2021-10-17
"18-24","3485746","2956559","40472",2021-10-18
"18-24","3487579","2961634","42797",2021-10-19
"18-24","3489551","2966494","45434",2021-10-20
"18-24","3491743","2971762","48172",2021-10-21
"18-24","3493963","2976731","51211",2021-10-22
"18-24","3496058","2981627","54095",2021-10-23
"18-24","3498406","2987751","56941",2021-10-24
"18-24","3499773","2991137","58357",2021-10-25
"18-24","3499773","2991137","58357",2021-10-26
"25-29","2835619","2453056","16116",2021-10-01
"25-29","2837332","2458474","19040",2021-10-02
"25-29","2839140","2464129","21674",2021-10-03
"25-29","2840176","2467439","23188",2021-10-04
"25-29","2841720","2472092","26286",2021-10-05
"25-29","2843390","2476497","29525",2021-10-06
"25-29","2844877","2480680","31605",2021-10-07
"25-29","2846386","2484905","33865",2021-10-08
"25-29","2848011","2489244","36287",2021-10-09
"25-29","2849720","2494073","38758",2021-10-10
"25-29","2850638","2496640","39996",2021-10-11
"25-29","2852067","2500147","41956",2021-10-12
"25-29","2853739","2503678","44226",2021-10-13
"25-29","2856070","2508456","48078",2021-10-14
"25-29","2857731","2512106","52050",2021-10-15
"25-29","2859464","2516171","56047",2021-10-16
"25-29","2861298","2520705","59339",2021-10-17
"25-29","2862209","2523027","60886",2021-10-18
"25-29","2863704","2526336","64226",2021-10-19
"25-29","2865296","2529665","67760",2021-10-20
"25-29","2866946","2532951","71584",2021-10-21
"25-29","2868608","2536175","75536",2021-10-22
"25-29","2870309","2539493","79521",2021-10-23
"25-29","2872154","2543608","82978",2021-10-24
"25-29","2873205","2545683","84690",2021-10-25
"25-29","2873205","2545683","84690",2021-10-26
"30-34","3139997","2807756","20736",2021-10-01
"30-34","3141741","2812029","24519",2021-10-02
"30-34","3143197","2816205","27959",2021-10-03
"30-34","3144116","2818682","30095",2021-10-04
"30-34","3145492","2822222","33692",2021-10-05
"30-34","3146903","2825678","37719",2021-10-06
"30-34","3148267","2828955","40664",2021-10-07
"30-34","3149577","2832211","43635",2021-10-08
"30-34","3151055","2835669","46758",2021-10-09
"30-34","3152472","2839419","50074",2021-10-10
"30-34","3153247","2841365","51628",2021-10-11
"30-34","3154501","2844123","54056",2021-10-12
"30-34","3156000","2847083","56961",2021-10-13
"30-34","3158027","2850941","61787",2021-10-14
