"name","one_dose","two_dose","booster","date"
"East of England","4829879","4472303","99428",2021-10-01
"East of England","4833818","4475478","116338",2021-10-02
"East of England","4835451","4478709","137921",2021-10-03
"East of England","4836707","4481014","145890",2021-10-04
"East of England","4841052","4483912","158483",2021-10-05
"East of England","4845813","4486786","174996",2021-10-06
"East of England","4849047","4489356","190000",2021-10-07
"East of England","4852329","4491888","208374",2021-10-08
"East of England","4855341","4494424","227324",2021-10-09
"East of England","4856666","4497538","253198",2021-10-10
"East of England","4858167","4499259","263689",2021-10-11
"East of England","4861149","4501372","277936",2021-10-12
"East of England","4864395","4503542","295157",2021-10-13
"East of England","4869188","4506037","318566",2021-10-14
"East of England","4873477","4508365","342377",2021-10-15
"East of England","4876768","4510918","364943",2021-10-16
"East of England","4878807","4514292","396915",2021-10-17
"East of England","4880024","4516016","409942",2021-10-18
"East of England","4884565","4517966","426498",2021-10-19
"East of England","4889423","4520045","450427",2021-10-20
"East of England","4893638","4522208","478800",2021-10-21
"East of England","4897875","4524377","510412",2021-10-22
"East of England","4900414","4526593","543435",2021-10-23
"East of England","4902868","4529400","584597",2021-10-24
"East of England","4904190","4531113","601722",2021-10-25
"East of England","4904190","4531113","601722",2021-10-26
"London","5884515","5351294","131033",2021-10-01
"London","5888692","5356787","154832",2021-10-02
"London","5892187","5363127","175572",2021-10-03
"London","5893763","5365654","183549",2021-10-04
"London","5898259","5370354","201139",2021-10-05
"London","5902794","5374732","219270",2021-10-06
"London","5906327","5378894","238579",2021-10-07
"London","5910258","5382921","260339",2021-10-08
"London","5914906","5387647","283792",2021-10-09
"London","5918066","5393098","311885",2021-10-10
"London","5919365","5395325","321320",2021-10-11
"London","5923738","5399253","335884",2021-10-12
"London","5929191","5403325","354047",2021-10-13
"London","5936735","5407795","379016",2021-10-14
"London","5943288","5412068","406706",2021-10-15
"London","5950207","5416810","432525",2021-10-16
"London","5953671","5423091","464319",2021-10-17
"London","5954947","5425186","473957",2021-10-18
"London","5962560","5429253","492754",2021-10-19
"London","5969570","5433417","515913",2021-10-20
"London","5977439","5437234","541033",2021-10-21
"London","5983428","5441134","573368",2021-10-22
"London","5991021","5445431","606150",2021-10-23
"London","5995929","5450923","644872",2021-10-24
"London","5998933","5453059","659499",2021-10-25
"London","5998933","5453059","659499",2021-10-26
"Midlands","7577554","6994230","161274",2021-10-01
"Midlands","7583585","6999363","187965",2021-10-02
"Midlands","7587346","7004990","221124",2021-10-03
"Midlands","7589452","7008651","239234",2021-10-04
"Midlands","7595128","7012846","261774",2021-10-05
"Midlands","7601581","7017046","286756",2021-10-06
"Midlands","7606389","7021033","314159",2021-10-07
"Midlands","7611125","7024781","345072",2021-10-08
"Midlands","7616138","7029244","375002",2021-10-09
"Midlands","7619711","7035299","417539",2021-10-10
"Midlands","7621426","7038576","435168",2021-10-11
"Midlands","7625742","7042186","455283",2021-10-12
"Midlands","7631071","7046199","482507",2021-10-13
"Midlands","7638615","7051102","514760",2021-10-14
"Midlands","7645406","7055122","553646",2021-10-15
